brand_name,model,release_year,curve_index,soc_percent,charging_power_kW
Audi,S6 Avant e-tron,2024,2,80.0,162.0
Audi,S6 Avant e-tron,2024,3,100.0,81.0
Audi,S6 Sportback e-tron,2024,0,0.0,270.0
Audi,S6 Sportback e-tron,2024,1,50.0,270.0
Audi,S6 Sportback e-tron,2024,2,80.0,162.0
Audi,S6 Sportback e-tron,2024,3,100.0,81.0
Audi,SQ6 e-tron,2024,0,0.0,256.5
Audi,SQ6 e-tron,2024,1,75.0,270.0
Audi,SQ6 e-tron,2024,2,100.0,11.0
Audi,SQ6 e-tron Sportback,2024,0,0.0,270.0
Audi,SQ6 e-tron Sportback,2024,1,50.0,270.0
Audi,SQ6 e-tron Sportback,2024,2,80.0,162.0
Audi,SQ6 e-tron Sportback,2024,3,100.0,81.0
Audi,SQ8 e-tron,2023,0,0.0,168.0
Audi,SQ8 e-tron,2023,1,50.0,168.0
Audi,SQ8 e-tron,2023,2,80.0,100.8
Audi,SQ8 e-tron,2023,3,100.0,50.4
Audi,SQ8 e-tron Sportback,2023,0,0.0,168.0
Audi,SQ8 e-tron Sportback,2023,1,50.0,168.0
Audi,SQ8 e-tron Sportback,2023,2,80.0,100.8
Audi,SQ8 e-tron Sportback,2023,3,100.0,50.4
Audi,e-tron 50,2019,0,0.0,110.0
Audi,e-tron 50,2019,1,10.0,120.0
Audi,e-tron 50,2019,2,20.0,124.0
Audi,e-tron 50,2019,3,60.0,124.0
Audi,e-tron 50,2019,4,70.0,100.0
Audi,e-tron 50,2019,5,80.0,77.0
Audi,e-tron 50,2019,6,100.0,22.0
Audi,e-tron 50 quattro,2021,0,0.0,120.0
Audi,e-tron 50 quattro,2021,1,50.0,120.0
Audi,e-tron 50 quattro,2021,2,80.0,72.0
Audi,e-tron 50 quattro,2021,3,100.0,36.0
Audi,e-tron 55,2019,0,0.0,137.0
Audi,e-tron 55,2019,1,70.0,155.0
Audi,e-tron 55,2019,2,72.0,150.0
Audi,e-tron 55,2019,3,78.0,120.0
Audi,e-tron 55,2019,4,82.0,105.0
Audi,e-tron 55,2019,5,100.0,50.0
Audi,e-tron 55 quattro,2020,0,0.0,155.0
Audi,e-tron 55 quattro,2020,1,50.0,155.0
Audi,e-tron 55 quattro,2020,2,80.0,93.0
Audi,e-tron 55 quattro,2020,3,100.0,46.5
Audi,e-tron GT RS,2024,0,0.0,320.0
Audi,e-tron GT RS,2024,1,50.0,320.0
Audi,e-tron GT RS,2024,2,80.0,192.0
Audi,e-tron GT RS,2024,3,100.0,96.0
Audi,e-tron GT RS performance,2024,0,0.0,320.0
Audi,e-tron GT RS performance,2024,1,50.0,320.0
Audi,e-tron GT RS performance,2024,2,80.0,192.0
Audi,e-tron GT RS performance,2024,3,100.0,96.0
Audi,e-tron GT S,2024,0,0.0,320.0
Audi,e-tron GT S,2024,1,50.0,320.0
Audi,e-tron GT S,2024,2,80.0,192.0
Audi,e-tron GT S,2024,3,100.0,96.0
Audi,e-tron GT quattro,2021,0,0.0,268.0
Audi,e-tron GT quattro,2021,1,20.0,268.0
Audi,e-tron GT quattro,2021,2,40.0,214.0
Audi,e-tron GT quattro,2021,3,60.0,161.0
Audi,e-tron GT quattro,2021,4,80.0,107.0
Audi,e-tron GT quattro,2021,5,100.0,11.0
Audi,e-tron S,2020,0,0.0,182.0
Audi,e-tron S,2020,1,40.0,188.0
Audi,e-tron S,2020,2,50.0,154.0
Audi,e-tron S,2020,3,60.0,112.0
Audi,e-tron S,2020,4,75.0,71.0
Audi,e-tron S,2020,5,85.0,42.0
Audi,e-tron S,2020,6,100.0,23.0
Audi,e-tron Sportback 50 quattro,2021,0,0.0,150.0
Audi,e-tron Sportback 50 quattro,2021,1,20.0,150.0
Audi,e-tron Sportback 50 quattro,2021,2,40.0,120.0
Audi,e-tron Sportback 50 quattro,2021,3,60.0,90.0
Audi,e-tron Sportback 50 quattro,2021,4,80.0,60.0
Audi,e-tron Sportback 50 quattro,2021,5,100.0,11.0
Audi,e-tron Sportback 55,2020,0,0.0,86.5
Audi,e-tron Sportback 55,2020,1,30.0,86.5
Audi,e-tron Sportback 55,2020,2,60.0,60.55
Audi,e-tron Sportback 55,2020,3,80.0,34.6
Audi,e-tron Sportback 55,2020,4,100.0,11.0
Audi,e-tron Sportback 55 quattro,2020,0,0.0,155.0
Audi,e-tron Sportback 55 quattro,2020,1,50.0,155.0
Audi,e-tron Sportback 55 quattro,2020,2,80.0,93.0
Audi,e-tron Sportback 55 quattro,2020,3,100.0,46.5
Audi,etron,2023,0,0.0,106.0
Audi,etron,2023,1,30.0,106.0
Audi,etron,2023,2,60.0,74.2
Audi,etron,2023,3,80.0,42.4
Audi,etron,2023,4,100.0,11.0
Audi,etron 35,2021,0,0.0,52.0
Audi,etron 35,2021,1,50.0,52.0
Audi,etron 35,2021,2,80.0,31.2
Audi,etron 35,2021,3,100.0,11.0
Audi,etron 40,2021,0,0.0,76.6
Audi,etron 40,2021,1,20.0,76.6
Audi,etron 40,2021,2,40.0,61.0
Audi,etron 40,2021,3,60.0,46.0
Audi,etron 40,2021,4,80.0,31.0
Audi,etron 40,2021,5,100.0,11.0
Audi,etron 45,2021,0,0.0,76.6
Audi,etron 45,2021,1,20.0,76.6
Audi,etron 45,2021,2,40.0,61.0
Audi,etron 45,2021,3,60.0,46.0
Audi,etron 45,2021,4,80.0,31.0
Audi,etron 45,2021,5,100.0,11.0
Audi,etron 45,2023,0,0.0,77.0
Audi,etron 45,2023,1,30.0,77.0
Audi,etron 45,2023,2,60.0,53.9
Audi,etron 45,2023,3,80.0,30.8
Audi,etron 45,2023,4,100.0,11.0
Audi,etron 50,2021,0,0.0,76.6
Audi,etron 50,2021,1,20.0,76.6
Audi,etron 50,2021,2,40.0,61.0
Audi,etron 50,2021,3,60.0,46.0
Audi,etron 50,2021,4,80.0,31.0
Audi,etron 50,2021,5,100.0,11.0
Audi,etron 50,2022,0,0.0,89.0
Audi,etron 50,2022,1,30.0,89.0
Audi,etron 50,2022,2,60.0,62.3
Audi,etron 50,2022,3,80.0,35.6
Audi,etron 50,2022,4,100.0,11.0
Audi,etron 55,2022,0,0.0,106.0
Audi,etron 55,2022,1,30.0,106.0
Audi,etron 55,2022,2,60.0,74.2
Audi,etron 55,2022,3,80.0,42.4
Audi,etron 55,2022,4,100.0,11.0
Audi,etron 55,2023,0,0.0,77.0
Audi,etron 55,2023,1,30.0,77.0
Audi,etron 55,2023,2,60.0,53.9
Audi,etron 55,2023,3,80.0,30.8
Audi,etron 55,2023,4,100.0,11.0
Audi,etron sportback,2023,0,0.0,106.0
Audi,etron sportback,2023,1,30.0,106.0
Audi,etron sportback,2023,2,60.0,74.2
Audi,etron sportback,2023,3,80.0,42.4
Audi,etron sportback,2023,4,100.0,11.0
Audi,etron sportback 50,2022,0,0.0,89.0
Audi,etron sportback 50,2022,1,30.0,89.0
Audi,etron sportback 50,2022,2,60.0,62.3
Audi,etron sportback 50,2022,3,80.0,35.6
Audi,etron sportback 50,2022,4,100.0,11.0
Audi,etron sportback 55,2022,0,0.0,106.0
Audi,etron sportback 55,2022,1,30.0,106.0
Audi,etron sportback 55,2022,2,60.0,74.2
Audi,etron sportback 55,2022,3,80.0,42.4
Audi,etron sportback 55,2022,4,100.0,11.0
Audi,gt quattro,2021,0,0.0,85.0
Audi,gt quattro,2021,1,40.0,85.0
Audi,gt quattro,2021,2,70.0,68.0
Audi,gt quattro,2021,3,90.0,34.0
Audi,gt quattro,2021,4,100.0,11.0
Audi,gt rs,2021,0,0.0,85.0
Audi,gt rs,2021,1,40.0,85.0
Audi,gt rs,2021,2,70.0,68.0
Audi,gt rs,2021,3,90.0,34.0
Audi,gt rs,2021,4,100.0,11.0
Audi,s,2020,0,0.0,86.5
Audi,s,2020,1,30.0,86.5
Audi,s,2020,2,60.0,60.55
Audi,s,2020,3,80.0,34.6
Audi,s,2020,4,100.0,11.0
