station_id,latitude,longitude,company_id,charger_type,rated_power_kw,station_connectors,operator_name
144096816d3812088033a4c9b3838dac,51.507151,-0.113777,11,Fast,22.0,"('Type2',)",POD Point
0c7f65251d8ddb6ec1640bef36f94109,51.497912,-0.136349,10,Slow,3.7,"('Type2',)",POD Point
0c7f65251d8ddb6ec1640bef36f94109,51.497912,-0.136349,11,Slow,3.7,"('Type2',)",POD Point
ead093ca38b5d3210738fe7b53d5f6d9,51.515375,-0.116745,10,Slow,7.0,"('Type2',)",POD Point
ead093ca38b5d3210738fe7b53d5f6d9,51.515375,-0.116745,11,Slow,7.0,"('Type2',)",POD Point
076ba05a45d179132cdec4c2c55591bb,51.49792,-0.136288,10,Slow,3.7,"('Type2',)",POD Point
076ba05a45d179132cdec4c2c55591bb,51.49792,-0.136288,11,Slow,3.7,"('Type2',)",POD Point
1a1ec01f6458adecccb605200d42f47c,51.506477,-0.12377,10,Slow,7.0,"('Type2',)",POD Point
1a1ec01f6458adecccb605200d42f47c,51.506477,-0.12377,11,Slow,7.0,"('Type2',)",POD Point
a6a8f6bad925fe4167d82a398acc0d10,51.522315,-0.123836,10,Fast,22.0,"('Type2',)",POD Point
a6a8f6bad925fe4167d82a398acc0d10,51.522315,-0.123836,11,Fast,22.0,"('Type2',)",POD Point
dfd7003b99a2c504402a0b89dc258c99,51.522323,-0.123798,10,Fast,22.0,"('Type2',)",POD Point
dfd7003b99a2c504402a0b89dc258c99,51.522323,-0.123798,11,Fast,22.0,"('Type2',)",POD Point
21af5f66fee3029846d201baef50415d,51.522307,-0.123872,10,Fast,22.0,"('Type2',)",POD Point
21af5f66fee3029846d201baef50415d,51.522307,-0.123872,11,Fast,22.0,"('Type2',)",POD Point
64b55721af8451c8a5e2d5a1a27876a2,51.495743,-0.026421,10,Slow,7.0,"('Type2',)",POD Point
64b55721af8451c8a5e2d5a1a27876a2,51.495743,-0.026421,11,Slow,7.0,"('Type2',)",POD Point
55385df83c377f1b7659f1b62477443d,51.495743,-0.026421,10,Slow,7.0,"('Type2',)",POD Point
55385df83c377f1b7659f1b62477443d,51.495743,-0.026421,11,Slow,7.0,"('Type2',)",POD Point
8f324d539761a3b21c773e02ea006d45,51.52659,-0.008772,10,Slow,7.0,"('Type2',)",POD Point
8f324d539761a3b21c773e02ea006d45,51.52659,-0.008772,11,Slow,7.0,"('Type2',)",POD Point
6558a36e80b682c4dfd415cacfd2c17d,51.52659,-0.008772,10,Slow,7.0,"('Type2',)",POD Point
6558a36e80b682c4dfd415cacfd2c17d,51.52659,-0.008772,11,Slow,7.0,"('Type2',)",POD Point
7226b79b1ddf90da94ad10bbc8e33466,51.497693,-0.223658,10,Slow,7.0,"('Type2',)",POD Point
7226b79b1ddf90da94ad10bbc8e33466,51.497693,-0.223658,11,Slow,7.0,"('Type2',)",POD Point
1d621120a54fb648cb3d036bb353babe,51.497693,-0.223658,10,Slow,7.0,"('Type2',)",POD Point
1d621120a54fb648cb3d036bb353babe,51.497693,-0.223658,11,Slow,7.0,"('Type2',)",POD Point
3c6a7d9835f5c2f074c0b0e71e3a8e4e,51.508696,-0.080927,10,Slow,7.0,"('Type2',)",POD Point
3c6a7d9835f5c2f074c0b0e71e3a8e4e,51.508696,-0.080927,11,Slow,7.0,"('Type2',)",POD Point
47f5ddcafc69b192c508530d538c39c9,51.514208,-0.157273,10,Slow,7.0,"('Type2',)",POD Point
47f5ddcafc69b192c508530d538c39c9,51.514208,-0.157273,11,Slow,7.0,"('Type2',)",POD Point
b3fd08804ea4de120cdd37b34a5d2bd9,51.514208,-0.157273,10,Slow,7.0,"('Type2',)",POD Point
b3fd08804ea4de120cdd37b34a5d2bd9,51.514208,-0.157273,11,Slow,7.0,"('Type2',)",POD Point
