chargeDeviceID,name,latitude,longitude,postcode,borough_cleaned,countryCode,deviceNetworks,locationType
95386242175e91cc85bf7cf608b54638,Republic Building,51.509946,-0.005424,E14 2BE,tower hamlets,gb,The GeniePoint Network,Other
54bcdb63fab2b188f3205d909fac27ac,Republic Building,51.509946,-0.005424,E14 2BE,tower hamlets,gb,The GeniePoint Network,Other
812e0df65eb6f409d6509df3a055ccc5,Hackney Council Bentley Road Car Park,51.545497,-0.077537,N1 4BY,islington,gb,The GeniePoint Network,Public car park
1bb159f91c000a522b1ca970bf7644d2,Hackney Council Calvert Avenue,51.5265,-0.07763,E2 7JP,tower hamlets,gb,The GeniePoint Network,On-street
d2677ede077bed4b90d8ab03c3373183,Hackney Council Service Centre,51.544714,-0.057088,E8 1GQ,hackney,gb,The GeniePoint Network,On-street
31128406e43c4606c19a02b5614e4571,Republic Building,51.509946,-0.005424,E14 2BE,tower hamlets,gb,The GeniePoint Network,Workplace car park
d88b3bdeeb6e9b3268490211e257480c,RegentsPark,51.52269,-0.14275,W1W 5EE,westminster,gb,The GeniePoint Network,Hotel / Accommodation
26d7380e67d377820751431c8078bb83,Cannon Workshops,51.507172,-0.026707,E14 4AS,tower hamlets,gb,The GeniePoint Network,Public car park
399ca2cae756946bfc919c8a00bbe304,5 Oakley Place ,51.486733,-0.075424,SE1 5AD,lambeth,gb,Char.gy,On-street
0cc36676967cb7edbb302fb4aafc34bc,"Tyres Estate Block C, Tyres Gate",51.500953,-0.083115,SE1 3JG,lambeth,gb,Char.gy,On-street
9ece71688524018ec6945ed5ac7c5245,"Thorold House, Pepper Street",51.503456,-0.098072,SE1 0EL,lambeth,gb,Char.gy,On-street
8013c5ea1457c21c9bbebddae680c2ab,"Library Street, junction with Milcote Street",51.499423,-0.103565,SE1 0FH,lambeth,gb,Char.gy,On-street
d045762be9be6e356ff55b6d24cbd314,"4 Smeaton Court, Rockingham Street",51.495758,-0.097071,SE1 6PF,lambeth,gb,Char.gy,On-street
ee2eedca83dd243e0b972e70b3ff28d5,Opposite 7 - 12 Poitier Street,51.496185,-0.086764,SE1 4XH,lambeth,gb,Char.gy,On-street
aae0d20fe138ea808e60f77f714c251e,"Peter Butler House, George Row",51.50071,-0.068971,SE1 2BJ,lambeth,gb,Char.gy,On-street
bba74a67c37f859b50c1d3155652a27b,"1 - 34 Muro Court, Library Street",51.499238,-0.103779,SE1 0FH,lambeth,gb,Char.gy,On-street
9c110fa312e5223724a41c1dc4fabcb4,"The Modern House, Kings Bench Street",51.50187,-0.101994,SE1 0QX,lambeth,gb,Char.gy,On-street
fb42cfc88e16f79a2b3cb9fbcc1ea8c5,"Outside Stafford House, Cooper's Road",51.487307,-0.073002,SE1 5JB,lambeth,gb,Char.gy,On-street
11b9751478fa8741d4935017eeb51b04,"Opposite Huberd House, Manciple Street",51.498249,-0.086924,SE1 4ND,lambeth,gb,Char.gy,On-street
37ef41c2510a35314b7deb1b5b167e8f,Opposite 65 Glasshill Street,51.500989,-0.100034,SE1 0QR,lambeth,gb,Char.gy,On-street
8bd7a497d7c2f63f6dd64dbda8a0a781,"Shalford House, Law Street",51.497282,-0.086563,SE1 4DY,lambeth,gb,Char.gy,On-street
92a57da0ff3323f27fec39ade78d3db8,"Gardiner House, Lancaster Street",51.49941,-0.1021,SE1 0AQ,lambeth,gb,Char.gy,On-street
cf92409f112c49c4893e1d78b7b14a5b,"Opposite St Saviour & St Olave's School, Bartholomew Street",51.495249,-0.087544,SE1 4AL,lambeth,gb,Char.gy,On-street
f90ebc567e064d02b8d7b21c91f76ffa,16 Lynton Road,51.490688,-0.073921,SE1 5QR,lambeth,gb,Char.gy,On-street
