brand_name,model,release_year,battery_kWh,avg_consumption_Wh_per_km,ac_phases,ac_max_power_kW,dc_max_power_kW,has_default_charging_curve
Citroën,xl,2021,68.0,26.2,3,11.0,68.0,True
Citroën,m,2021,46.3,22.6,3,11.0,46.3,True
Citroën,xl,2021,46.3,22.6,3,11.0,46.3,True
Citroën,combi xs,2020,46.3,25.0,3,11.0,46.3,True
Citroën,combi m,2020,46.3,25.0,3,11.0,46.3,True
Citroën,combi xl,2020,46.3,25.7,3,11.0,46.3,True
Citroën,combi m,2020,68.0,25.7,3,11.0,68.0,True
Citroën,combi xl,2020,68.0,26.2,3,11.0,68.0,True
Citroën,x,2022,46.3,16.2,3,7.4,46.3,False
Citroën,54kwh,2023,50.8,15.4,3,11.0,50.8,False
Citroën,x,2023,50.8,15.4,3,11.0,50.8,False
Citroën,e-C3,2024,44.0,16.9,3,7.4,44.0,False
CUPRA,Born,2021,45.0,16.4,3,7.2,100.0,True
CUPRA,Born,2021,58.0,16.6,3,11.0,100.0,False
CUPRA,Born,2022,58.0,16.8,3,11.0,100.0,False
CUPRA,Born,2021,77.0,17.1,3,11.0,125.0,False
CUPRA,Tavascan,2024,77.0,17.1,3,11.0,135.0,True
CUPRA,Tavascan,2024,77.0,17.9,3,11.0,175.0,True
CUPRA,Born 170 kW - 77 kWh,2024,77.0,16.7,3,11.0,175.0,False
CUPRA,Born VZ,2024,79.0,17.0,3,11.0,185.0,False
CUPRA,Born 170 kW - 59 kWh,2024,59.0,16.4,3,11.0,165.0,False
CUPRA,Born 170 kW - 58 kWh,2022,58.0,16.8,3,11.0,124.0,False
CUPRA,Born 150 kW - 58 kWh,2021,58.0,16.6,3,11.0,124.0,False
CUPRA,150kw-,2021,58.0,16.6,3,11.0,58.0,False
CUPRA,170kw-,2022,58.0,16.8,3,11.0,58.0,False
CUPRA,170kw-,2022,77.0,17.1,3,11.0,77.0,False
CUPRA,endurance,2024,77.0,17.3,3,11.0,77.0,False
CUPRA,Tavascan VZ,2024,77.0,18.1,3,11.0,77.0,False
Dacia,Spring Electric,2021,26.8,15.8,1,6.6,34.0,False
Dacia,Spring Electric 45,2024,25.0,15.2,3,11.0,34.0,False
Dacia,Spring Electric 65,2024,25.0,15.6,3,11.0,34.0,False
Dacia,Spring Electric 65 Extreme,2023,25.0,15.6,3,11.0,34.0,False
Dacia,electric,2021,25.0,15.6,3,6.6,25.0,False
Dacia,electric 45,2022,25.0,15.2,3,6.6,25.0,False
Dacia,electric 65 extreme,2023,25.0,15.6,3,6.6,25.0,False
Dongfeng,Box 42.3 kWh,2024,40.0,15.7,3,11.0,60.0,False
Dongfeng,Box 31.4 kWh,2025,29.0,15.3,3,11.0,57.0,True
DS,crossback e-tense,2020,46.3,81.1,3,3.0,46.3,True
DS,3 Crossback E-Tense,2020,46.0,18.4,3,11.0,100.0,False
DS,3 Crossback E-Tense,2020,46.0,18.4,1,7.4,100.0,True
DS,N°8 FWD Long Range,2024,97.2,17.5,3,11.0,200.0,False
DS,N°8 AWD Long Range,2024,97.2,18.2,3,11.0,200.0,False
DS,3 E-Tense,2022,50.8,16.9,3,85.0,100.0,False
DS,3 Crossback E-Tense,2021,46.3,17.5,3,78.0,101.0,True
DS,N°8 FWD,2024,74.0,17.4,3,11.0,160.0,False
DS,crossback e-tense,2021,46.3,17.5,3,3.0,46.3,True
DS,e-tense,2022,50.8,16.9,3,11.0,50.8,False
e.GO Mobile,Life 20,2019,14.5,15.5,1,3.6,150.0,True
e.GO Mobile,Life 40,2019,17.5,15.5,1,3.6,150.0,True
e.GO Mobile,Life 60,2019,21.0,15.5,1,3.6,150.0,True
e.GO Mobile,x,2022,27.0,18.0,3,11.0,27.0,False
Elaris,BEO 86 kWh,2023,81.0,20.8,3,11.0,100.0,False
Elaris,86kwh,2023,81.0,20.8,3,11.0,81.0,False
Energica,Eva,2020,18.9,11.6,1,3.0,23.0,False
Fiat,500e,2013,21.3,13.5,1,6.6,40.0,True
Fiat,500e,2021,21.3,15.8,1,6.6,50.0,False
Fiat,500e,2020,37.3,15.9,3,11.0,85.0,False
Fiat,600e,2023,50.8,16.4,3,11.0,50.8,False
Fiat,E-Ulysse L2 75 kWh,2022,68.0,25.7,3,11.0,100.0,False
Fiat,E-Ulysse L2 50 kWh,2022,46.3,25.0,3,11.0,101.0,True
Fiat,E-Ulysse L3 75 kWh,2022,68.0,26.2,3,11.0,100.0,False
Fiat,E-Ulysse L3 50 kWh,2022,46.3,25.7,3,11.0,101.0,True
Fiat,Grande Panda,2024,43.8,16.8,3,11.0,100.0,False
Fiat,cabrio,2020,37.3,16.2,3,37.3,37.3,False
Fiat,hatchback,2020,37.3,15.9,3,42.0,37.3,True
Fiat,hatchback,2020,21.3,15.8,3,24.0,21.3,True
Fiat,3+1,2020,37.3,15.9,3,37.3,37.3,False
Fiat,l2,2022,46.3,25.0,3,7.4,46.3,False
Fiat,l2,2022,68.0,25.7,3,7.4,68.0,False
Fiat,l3,2022,46.3,25.7,3,7.4,46.3,False
Fiat,l3,2022,68.0,26.2,3,7.4,68.0,False
Fiat,3+1,2022,21.3,15.8,3,11.0,21.3,False
Fiat,cabrio,2022,21.3,15.8,3,11.0,21.3,False
Fisker,Ocean One,2023,106.5,20.1,3,11.0,250.0,False
Fisker,Ocean Ultra,2023,106.5,20.9,3,11.0,250.0,False
Fisker,Ocean Sport,2023,71.0,20.3,3,11.0,200.0,False
Fisker,Ocean Extreme,2023,106.5,21.7,3,11.0,250.0,False
Fisker,sport,2023,71.0,20.3,3,11.0,71.0,False
Fisker,ultra,2023,106.5,20.9,3,11.0,106.5,False
Fisker,extreme,2023,106.5,21.7,3,11.0,106.5,False
Fisker,one,2023,106.5,20.1,3,11.0,106.5,False
Ford,Focus electric,2017,33.5,16.4,1,6.6,50.0,True
Ford,Focus electric,2013,23.0,16.4,1,6.6,150.0,True
Ford,Mustang Mach e,2022,70.0,17.9,3,11.0,113.0,False
Ford,Mustang Mach e,2022,88.0,18.1,3,11.0,148.0,False
Ford,Mustang Mach e,2022,88.0,20.0,3,11.0,148.0,False
Ford,Mustang Mach e,2022,70.0,16.5,3,11.0,113.0,False
Ford,Mustang Mach e,2022,88.0,16.5,3,11.0,148.0,False
Ford,Puma Gen-E,2024,43.6,15.9,3,11.0,100.0,False
Ford,Capri Extended Range RWD,2024,77.0,16.9,3,11.0,135.0,False
Ford,Mustang Mach-E ER RWD,2024,91.0,19.0,3,11.0,150.0,False
Ford,Capri Extended Range AWD,2024,79.0,17.4,3,11.0,185.0,False
Ford,Explorer Extended Range AWD,2024,79.0,18.0,3,11.0,185.0,False
Ford,Mustang Mach-E ER AWD,2024,91.0,20.7,3,115.0,150.0,False
Ford,Capri Standard Range RWD,2024,52.0,16.3,3,11.0,145.0,False
Ford,Explorer Extended Range RWD,2024,77.0,17.7,3,11.0,135.0,False
Ford,Explorer Standard Range RWD,2024,52.0,17.0,3,11.0,145.0,False
Ford,Mustang Mach-E SR RWD,2024,72.6,18.9,3,95.0,150.0,False
Ford,Mustang Mach-E Rally,2024,91.0,22.2,3,11.0,150.0,False
Ford,Mustang Mach-E SR AWD,2024,72.6,20.7,3,95.0,150.0,False
Ford,Focus Electric,2013,19.6,18.6,3,11.0,150.0,True
Ford,mach-e sr rwd,2021,68.0,18.6,3,11.0,68.0,True
Ford,mach-e er rwd,2021,88.0,18.9,3,11.0,88.0,True
Ford,mach-e sr,2021,68.0,20.3,3,11.0,68.0,True
