chargeDeviceID,connector_type,rated_power_kW,charge_method,status
9a8a6e0246a672d7b49c372278dfe755,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
20494d74ddb9eb4d2f1d648a9c2d3027,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
6d143a7d06912182353b0cac34873a9c,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
212d7b0a128963e8dc18162dc0450a88,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
8e7b847cb94bddadaffb06642cd8fc29,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
1c23e2956f50da7f917d1e5cd03247bb,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
fb6393f704111dac53f6c79de052bf5e,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
5119e3ea8312f864ed2cfb21bba62110,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
f5f994eca0977cc9821e09fa660c9ec7,Type 2 Mennekes (IEC62196),3.7,Single Phase AC,In service
5530294dbe3df8040bcc1b4629fc6cfa,CCS Type 2 Combo (IEC62196),50.0,DC,In service
b834b3ccf7e90425ac03707e91758f40,CCS Type 2 Combo (IEC62196),50.0,DC,In service
62b427e768931c661c51622d00c2e6ab,CCS Type 2 Combo (IEC62196),50.0,DC,In service
c78eb3663409c95b95940aa830d6e1c7,CCS Type 2 Combo (IEC62196),50.0,DC,In service
23750bb6052e885b1d81ceaff5e0e05a,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
892028cddb3f2b68dd9dc6f02e603a52,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
78b6e39336f2cc0745a2944f919541a4,CCS Type 2 Combo (IEC62196),50.0,DC,In service
e2a038863417f69e0faaab30683eb5e5,CCS Type 2 Combo (IEC62196),50.0,DC,In service
0cd4e2373f14ec5dbd38962f20d921c3,CCS Type 2 Combo (IEC62196),50.0,DC,In service
9e701dfc2f4952d495077c6bf6c3c94a,CCS Type 2 Combo (IEC62196),50.0,DC,In service
8c8254dc524ea5ac41f3675033bfc260,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
47854493d6b4fa2e1005d39ee0a5dacd,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
dc5e34adadc9d2dd5d4bd9efeb1b03f1,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
091c2d1aa615864b7d386fea1621a49a,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
affa3be3a58585105e7a807f75326d22,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
8d015dd00e22eb3807e03c786d28f0b7,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
f31d57494ba5b5d3cb422ed0b7cc9aa6,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
4cb33f0ae2ca5e4ca65285821ad94ecb,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
c1d1d15dcd62a49c318eaa9b5e4008f3,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
d488781b360b5821800a78a33ea6bcf8,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
f127b7d0f5411d7f6ea7362ca0806996,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
3073dc2b7e415aafd53b958c594dab2a,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
047f5ae730339494cb89d894095b6820,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
4de0f7455c14e8aee7baa617ea72c6a3,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
e9bf9c894d74d0cfde3d6edc9f7659fe,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
703a5c1c30bdcba95978c0f626602879,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
a3c92e21d6f28a68bb9009e8ebe7daaf,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
2b62ace91cc86704d350da570fe113cd,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
4b7a5e62ed921ed7df54741cae0fa89b,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
3b636569c2488a2c5dce58a86dbea17e,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
0387027c84a1a2c5baedda4911424ca7,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
48dac7073850e50ec9373857b2a0f029,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
cb376b3e21dfe5426565b6a62469107d,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
a8804df70e293b666fda4c2188898abb,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
a05b78f875253795ce1ebfdd05cf2836,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
07a19a1ff08220dd472f5cf9eadf768a,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
4ae612b39281cb803da8150ee46efc71,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
ce4681d102efc5bd87fa80bb344f6c80,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
ea120d03fefb6712f9423fbd6abe9528,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
5048a3d8324401a7fb6c04ae30c90afa,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
5855bcd129a04ac35337b45628a59502,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
14e51a87e16cd5da8717f98915f90264,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
48e0868aa17389fd24e7c8d020012d9d,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
15b8ad35f15f1e8db1b46d8d8c14e990,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
97c3ae76ac739c21be8204b86befcd41,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
286cfb0dbdfa54665313069d20501926,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
d2d5fb01c14727b1031919e73c918fd6,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
6f6da908d1554459293dfd10198829ee,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
b857df8bf3a77e6344b536e47e9f80e8,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
0b247dd2ae53c7ee4e4948166642e7bf,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
