time_s,timesteps,episode_steps,total_minutes,total_cost_gbp,success,stranded,soc_final,remaining_km,charge_events,termination_reason,violations_repeat,violations_overlimit,violations_cooldown
1757236087,243735,5,44.500223713646534,0.26086956521739124,1,0,0.14793014166239135,0.0,1,success,0,0,0
1757236088,243738,3,31.400357941834454,0.2717391304347826,1,0,0.1613970712108051,0.0,1,success,0,0,0
1757236089,243745,7,59.00044742729307,0.5217391304347825,1,0,0.33434579700724787,0.0,2,success,0,0,0
1757236090,243749,4,34.500223713646534,0.2717391304347826,1,0,0.14845269758204002,0.0,1,success,0,0,0
1757236092,243756,7,59.00044742729307,0.5326086956521738,1,0,0.3218952488281706,0.0,2,success,0,0,0
1757236092,243757,1,10.0,0.0,1,0,0.28355256950982916,0.0,0,success,0,0,0
1757236093,243764,7,59.00044742729307,0.5326086956521738,1,0,0.14051502919637188,0.0,2,success,0,0,0
1757236094,243767,3,24.500223713646534,0.26086956521739124,1,0,0.3104646696109948,0.0,1,success,0,0,0
1757236095,243772,5,44.500223713646534,0.2717391304347826,1,0,0.3047327209900124,0.0,1,success,0,0,0
1757236096,243776,4,34.500223713646534,0.26086956521739124,1,0,0.13266170872046987,0.0,1,success,0,0,0
1757236097,243779,3,24.500223713646534,0.26086956521739124,1,0,0.16256930018606658,0.0,1,success,0,0,0
1757236098,243788,9,82.75055928411633,0.8043478260869564,0,0,0.2086674052481807,0.6596133333333345,3,overlimit,0,1,0
1757236100,243797,9,82.75055928411633,0.8043478260869564,0,0,0.20425254608880106,0.5966133333333357,3,overlimit,0,1,0
1757236101,243802,5,34.500223713646534,0.2717391304347826,1,0,0.11438570941659357,0.0,1,success,0,0,0
1757236102,243805,3,24.500223713646534,0.2717391304347826,1,0,0.17548029288908118,0.0,1,success,0,0,0
1757236102,243808,3,24.500223713646534,0.2717391304347826,1,0,0.2808232371716894,0.0,1,success,0,0,0
1757236103,243812,4,40.500223713646534,0.26086956521739124,1,0,0.11503892616850689,0.0,1,success,0,0,0
1757236104,243816,4,34.500223713646534,0.26086956521739124,1,0,0.11517320041445,0.0,1,success,0,0,0
1757236105,243823,7,59.00044742729307,0.5217391304347825,1,0,0.14900253903336574,0.0,2,success,0,0,0
1757236106,243826,3,24.500223713646534,0.26086956521739124,1,0,0.15153694237080867,0.0,1,success,0,0,0
1757236107,243830,4,34.500223713646534,0.26086956521739124,1,0,0.2503925874672319,0.0,1,success,0,0,0
1757236108,243838,8,59.00044742729307,0.5217391304347825,1,0,0.3217880383562949,0.0,2,success,0,0,0
1757236110,243844,6,45.5006711409396,0.5434782608695652,1,0,0.2179570102700613,0.0,2,success,0,0,0
1757236111,243848,4,34.500223713646534,0.2717391304347826,1,0,0.2803364110889661,0.0,1,success,0,0,0
1757236111,243851,3,24.500223713646534,0.2717391304347826,1,0,0.12985099453221025,0.0,1,success,0,0,0
1757236112,243853,2,20.0,0.0,1,0,0.13044154403064354,0.0,0,success,0,0,0
1757236113,243860,7,64.50022371364653,0.26086956521739124,1,0,0.11630254092420078,0.0,1,success,0,0,0
1757236114,243863,3,24.500223713646534,0.26086956521739124,1,0,0.21961882520476103,0.0,1,success,0,0,0
1757236114,243864,1,10.0,0.0,1,0,0.2753441077991863,0.0,0,success,0,0,0
