brand_name,model,release_year,usable_battery_size,energy_consumption/average_consumption,ac_charger/usable_phases,ac_charger/max_power,dc_charger/max_power,dc_charger/charging_curve/0/percentage,dc_charger/charging_curve/0/power,dc_charger/charging_curve/1/percentage,dc_charger/charging_curve/1/power,dc_charger/charging_curve/2/percentage,dc_charger/charging_curve/2/power,dc_charger/charging_curve/3/percentage,dc_charger/charging_curve/3/power,dc_charger/is_default_charging_curve,range,consumption,dc_charger/charging_curve/4/percentage,dc_charger/charging_curve/4/power,dc_charger/charging_curve/5/percentage,dc_charger/charging_curve/5/power,dc_charger/charging_curve/6/percentage,dc_charger/charging_curve/6/power,dc_charger/charging_curve/7/percentage,dc_charger/charging_curve/7/power,dc_charger/charging_curve/8/percentage,dc_charger/charging_curve/8/power,dc_charger/charging_curve/9/percentage,dc_charger/charging_curve/9/power,dc_charger/charging_curve/10/percentage,dc_charger/charging_curve/10/power,dc_charger/charging_curve/11/percentage,dc_charger/charging_curve/11/power
Audi,S6 Avant e-tron,2024,94.9,18.1,3,11,270,0,270,50,270,80,162,100,81,FALSE,525,18.1,,,,,,,,,,,,,,,,
Audi,Q4 Sportback e-tron 40,2021,76.6,18,3,11,143,0,143,50,143,80,85.8,100,42.9,FALSE,425,18,,,,,,,,,,,,,,,,
Audi,e-tron Sportback 50 quattro,2021,64.7,21.9,3,11,150,0,150,20,150,40,120,60,90,TRUE,295,21.9,80,60,100,11,,,,,,,,,,,,
Audi,Q6 e-tron Sportback quattro,2024,94.9,19,3,11,270,0,270,50,270,80,162,100,81,FALSE,500,19,,,,,,,,,,,,,,,,
Audi,Q4 e-tron 45 quattro,2023,77,19.5,3,11,150,0,150,20,150,40,120,60,90,TRUE,395,19.5,80,60,100,11,,,,,,,,,,,,
Audi,Q4 Sportback e-tron 45 quattro,2023,77,18.8,3,11,150,0,150,20,150,40,120,60,90,TRUE,410,18.8,80,60,100,11,,,,,,,,,,,,
Audi,Q4 Sportback e-tron 55 quattro,2023,77,18.6,3,11,175,0,175,50,175,80,87.5,100,35,FALSE,415,18.6,,,,,,,,,,,,,,,,
Audi,Q6 e-tron Sportback,2024,75.8,18.5,3,11,225,0,225,50,225,80,112.5,100,45,FALSE,410,18.5,,,,,,,,,,,,,,,,
Audi,SQ8 e-tron,2023,106,23.3,3,11,168,0,168,50,168,80,100.8,100,50.4,FALSE,455,23.3,,,,,,,,,,,,,,,,
Audi,SQ6 e-tron Sportback,2024,94.9,19.2,3,11,270,0,270,50,270,80,162,100,81,FALSE,495,19.2,,,,,,,,,,,,,,,,
Audi,Q8 e-tron Sportback 50 quattro,2022,89,20,3,11,155,0,155,50,155,80,93,100,46.5,FALSE,445,20,,,,,,,,,,,,,,,,
Audi,SQ8 e-tron Sportback,2023,106,22.1,3,11,168,0,168,50,168,80,100.8,100,50.4,FALSE,480,22.1,,,,,,,,,,,,,,,,
Audi,A6 Sportback e-tron performance,2024,94.9,15.8,3,11,270,0,270,50,270,80,162,100,81,FALSE,600,15.8,,,,,,,,,,,,,,,,
Audi,A6 Avant e-tron performance,2024,94.9,16.8,3,11,270,0,270,50,270,80,162,100,81,FALSE,565,16.8,,,,,,,,,,,,,,,,
Audi,e-tron 55,2019,86.5,23.7,3,11,86.5,0,86.5,30,86.5,60,60.55,80,34.6,FALSE,,,100,11,,,,,,,,,,,,,,
Audi,e-tron Sportback 55,2020,86.5,22.8,3,11,86.5,0,86.5,30,86.5,60,60.55,80,34.6,FALSE,,,100,11,,,,,,,,,,,,,,
Audi,gt rs,2021,85,21,3,11,85,0,85,40,85,70,68,90,34,FALSE,,,100,11,,,,,,,,,,,,,,
Audi,etron 35,2021,52,18.2,3,11,52,0,52,50,52,80,31.2,100,11,FALSE,,,,,,,,,,,,,,,,,,
Audi,50,2019,64.7,23.1,3,11,64.7,0,64.7,20,64.7,40,52,60,39,TRUE,,,80,26,100,11,,,,,,,,,,,,
Audi,sportback 50,2020,64.7,21.9,3,11,64.7,0,64.7,20,64.7,40,52,60,39,TRUE,,,80,26,100,11,,,,,,,,,,,,
Audi,55,2019,86.5,23.7,3,11,86.5,0,86.5,30,86.5,60,60.55,80,34.6,FALSE,,,100,11,,,,,,,,,,,,,,
Audi,s,2020,86.5,27,3,11,86.5,0,86.5,30,86.5,60,60.55,80,34.6,FALSE,,,100,11,,,,,,,,,,,,,,
Audi,s sportback,2020,86.5,25.8,3,11,86.5,0,86.5,30,86.5,60,60.55,80,34.6,FALSE,,,100,11,,,,,,,,,,,,,,
Audi,sportbacketron 35,2021,52,17.6,3,4,52,0,52,50,52,80,31.2,100,4,FALSE,,,,,,,,,,,,,,,,,,
Audi,55,2020,86.5,23.7,3,11,86.5,0,86.5,30,86.5,60,60.55,80,34.6,FALSE,,,100,11,,,,,,,,,,,,,,
