brand_name,brand_id,id,brand,model,vehicle_type,variant,release_year,usable_battery_size,energy_consumption/average_consumption,ac_charger/ports/0,ac_charger/usable_phases,ac_charger/max_power,dc_charger/ports/0,dc_charger/max_power,dc_charger/charging_curve/0/percentage,dc_charger/charging_curve/0/power,dc_charger/charging_curve/1/percentage,dc_charger/charging_curve/1/power,dc_charger/charging_curve/2/percentage,dc_charger/charging_curve/2/power,dc_charger/charging_curve/3/percentage,dc_charger/charging_curve/3/power,dc_charger/is_default_charging_curve,charging_voltage,url,status,error,updated_at,isFixingEmptyName,_manually_fixed_fields/0,battery_size,range,consumption,dc_charger/charging_curve/4/percentage,dc_charger/charging_curve/4/power,dc_charger/charging_curve/5/percentage,dc_charger/charging_curve/5/power,_manually_fixed_fields/1,energy_consumption/range,ac_charger/ports/1,type,dc_charger/charging_curve/6/percentage,dc_charger/charging_curve/6/power,dc_charger/charging_curve/7/percentage,dc_charger/charging_curve/7/power,dc_charger/charging_curve/8/percentage,dc_charger/charging_curve/8/power,dc_charger/charging_curve/9/percentage,dc_charger/charging_curve/9/power,dc_charger/charging_curve/10/percentage,dc_charger/charging_curve/10/power,_model_hash,ac_charger/phases,nominal_battery_size,battery_type,dc_charger/ports/1,dc_charger/charging_curve/11/percentage,dc_charger/charging_curve/11/power,dc_charger/ports/2
Audi,89c2668c-0c50-4344-9386-93e4000f7673,6e50ee19-233b-4324-914e-8e44662b9d13,Audi,A6 Sportback e-tron,car,,2024.0,75.8,15.6,type2,3.0,11.0,ccs,225.0,0.0,225.0,50.0,225.0,80.0,112.5,100.0,45.0,False,400.0,,,,,,,,485.0,,,,,,,485.0,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,b79ce407-2cd0-4846-96a4-3abb16485e26,Audi,e-tron 50 quattro,car,,2021.0,64.7,23.1,type2,3.0,11.0,ccs,120.0,0.0,120.0,50.0,120.0,80.0,72.0,100.0,36.0,False,400.0,,,,,,,,280.0,,,,,,,280.0,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,99c63b50-d23a-4058-bfd0-ba781fa101fc,Audi,e-tron 55 quattro,car,,2020.0,86.5,23.7,type2,3.0,11.0,ccs,155.0,0.0,155.0,50.0,155.0,80.0,93.0,100.0,46.5,False,400.0,,,,,,,,365.0,,,,,,,365.0,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,47a273c3-54de-456f-a2f1-92c246aea3f1,Audi,e-tron GT RS performance,car,,2024.0,97.0,18.5,type2,3.0,11.0,ccs,320.0,0.0,320.0,50.0,320.0,80.0,192.0,100.0,96.0,False,400.0,,,,,,,97.0,525.0,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,d5d31894-1a64-4c91-8ed0-066cc5744f8b,Audi,Q4 Sportback e-tron 45,car,,2023.0,77.0,17.7,type2,3.0,11.0,ccs,150.0,0.0,150.0,20.0,150.0,40.0,120.0,60.0,90.0,True,400.0,,,,,,,77.0,435.0,17.7,80.0,60.0,100.0,11.0,,,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,24d45d42-9357-42ac-8354-32e2412afe30,Audi,S6 Sportback e-tron,car,,2024.0,94.9,17.3,type2,3.0,11.0,ccs,270.0,0.0,270.0,50.0,270.0,80.0,162.0,100.0,81.0,False,400.0,,,,,,,94.9,550.0,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,40a2f001-0b95-4ca8-9471-321b5c0d52df,Audi,Q6 e-tron Sportback performance,car,,2024.0,94.9,18.6,type2,3.0,11.0,ccs,260.0,0.0,260.0,50.0,260.0,80.0,156.0,100.0,78.0,False,400.0,,,,,,,94.9,510.0,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,1fc09086-9853-4d79-b317-3b1281e5902c,Audi,S6 Avant e-tron,car,,2024.0,94.9,18.1,type2,3.0,11.0,ccs,270.0,0.0,270.0,50.0,270.0,80.0,162.0,100.0,81.0,False,400.0,,,,,,,94.9,525.0,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,645e2574-40c4-45ca-ba5f-be85d1928e0d,Audi,Q4 Sportback e-tron 40,car,,2021.0,76.6,18.0,type2,3.0,11.0,ccs,143.0,0.0,143.0,50.0,143.0,80.0,85.8,100.0,42.9,False,400.0,,,,,,,76.6,425.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,f813b472-d164-41b9-b599-a8347f04adce,Audi,e-tron Sportback 50 quattro,car,,2021.0,64.7,21.9,type2,3.0,11.0,ccs,150.0,0.0,150.0,20.0,150.0,40.0,120.0,60.0,90.0,True,400.0,,,,,,,64.7,295.0,21.9,80.0,60.0,100.0,11.0,,,,,,,,,,,,,,,,,,,,,,
